date,amount,place
16/10/2017,-10,MATHYRUBAN          HELSINKI
16/10/2017,"-20,96",K supermarket Pohjo Helsinki
16/10/2017,"-10,8",ASSARESTA OY        HELSINKI
16/10/2017,"-7,7",ALEPA POHJOIS HAAGA HELSINKI
16/10/2017,"-5,9",ALEPA POHJOIS HAAGA HELSINKI
17/10/2017,"-7,2",OSUUSPANKKI
17/10/2017,-8,ISS Palvelut        ISS
17/10/2017,-15,RAVINTOLA TUPLAASSA HELSINKI
17/10/2017,"-4,95",JUNGLE JUICE BAR TO HELSINKI
18/10/2017,"-11,36",K SUPERMARKET KAMPP HELSINKI
19/10/2017,"-4,53",ALEPA KAMPIN KESKUS HELSINKI
20/10/2017,-10,MATHYRUBAN          HELSINKI
20/10/2017,-9,RAVINTOLA TUPLAASSA HELSINKI
23/10/2017,"-11,1",LA TORREFAZIONE KAM HELSINKI
23/10/2017,"-4,95",JUNGLE JUICE BAR TO HELSINKI
23/10/2017,"-8,7",Dream Friends Oy    Helsinki
23/10/2017,"-13,5",MATHYRUBAN          HELSINKI
23/10/2017,-22,ASSARESTA OY        HELSINKI
23/10/2017,"-7,5",MATHYRUBAN          HELSINKI
23/10/2017,-19,ASSARESTA OY        HELSINKI
23/10/2017,-16,Lasten Paivan Saati HELSINKI
23/10/2017,"-14,08",ALEPA POHJOIS HAAGA HELSINKI
24/10/2017,"-13,04",K SUPERMARKET KAMPP HELSINKI
25/10/2017,"-12,37",LIDL  HELSINKI  KAM HELSINKI
25/10/2017,"-1,78",LIDL  HELSINKI  KAM HELSINKI
25/10/2017,15,TURUNEN ANNUKKA
26/10/2017,"-9,2",HESBURGER HKI K     HELSINKI
26/10/2017,"-5,9",PICNIC KAMPPI       HELSINKI
26/10/2017,"-4,95",JUNGLE JUICE BAR TO HELSINKI
27/10/2017,-10,MATHYRUBAN          HELSINKI
27/10/2017,-15,RAVINTOLA TUPLAASSA HELSINKI
28/10/2017,"-19,9",Fitness24seven OY
30/10/2017,-8,Dream Friends Oy    Helsinki
30/10/2017,"-13,5",RAVINTOLA TUPLAASSA HELSINKI
30/10/2017,"-9,3",ASSARESTA OY        HELSINKI
30/10/2017,"-9,52",ALEPA POHJOIS HAAGA HELSINKI
30/10/2017,"-15,32",PRISMA KANNELMAKI   HELSINKI
30/10/2017,"-32,1",Ravintola Vapiano   Helsinki
31/10/2017,-7,RAVINTOLA TUPLAASSA HELSINKI
31/10/2017,"-7,7",R HKI KAMPIN KESKUS HELSINKI
02/11/2017,"-7,95",K supermarket Posti Helsinki
03/11/2017,"-4,95",JUNGLE JUICE BAR TO HELSINKI
03/11/2017,-10,MATHYRUBAN          HELSINKI
05/11/2017,"-215,46",SATOKOTI OY
03/11/2017,"-7,5",ASSARESTA OY        HELSINKI
06/11/2017,"-10,2",Zeberas Oy          HELSINKI
06/11/2017,"-2,5",COMPAGNIE MAT OY AB HELSINKI
06/11/2017,-9,COMPAGNIE MAT OY AB HELSINKI
06/11/2017,"-8,7",Dream Friends Oy    Helsinki
06/11/2017,"-45,55",TMI HAULER FOOD     HELSINKI
06/11/2017,-14,Ravintola Santa F   HELSINKI
06/11/2017,-14,ASSARESTA OY        HELSINKI
07/11/2017,"-30,55",K SUPERMARKET KAMPP HELSINKI
07/11/2017,"-4,95",JUNGLE JUICE BAR TO HELSINKI
07/11/2017,"-8,4",ISS Palvelut        ISS
09/11/2017,"-4,95",JUNGLE JUICE BAR TO HELSINKI
09/11/2017,"-4,6",ISS Palvelut        ISS
09/11/2017,"-2,84",ALEPA KAMPIN KESKUS HELSINKI
09/11/2017,100,SHAFIQ OMER
10/11/2017,"-49,9",SOKOS HELSINKI      HELSINKI
10/11/2017,"-0,18",SOKOS HELSINKI      HELSINKI
12/11/2017,100,SHAFIQ OMER
13/11/2017,"-3,18",K supermarket Posti Helsinki
13/11/2017,"-6,5",ASSARESTA OY        HELSINKI
13/11/2017,"-6,4",R HKI R-AS. LANSISI HELSINKI
13/11/2017,"-17,5",IZ *KAHVILA TAIKAP  TAMPERE
13/11/2017,"-14,9",IZ *KAHVILA TAIKAP  TAMPERE
13/11/2017,-6,VR Tampere Asema    Tampere
13/11/2017,"-2,5",Avecra Oy 7303 ravi Helsinki
13/11/2017,"-13,1",Makuuni Oy          TAMPERE
13/11/2017,"-1,75",MCDONALDS FREDRIKIN HELSINKI
14/11/2017,"-5,49",ITUNES.COM/BILL     ITUNES.COM
14/11/2017,"-11,5",MATHYRUBAN          HELSINKI
14/11/2017,-7,ASSARESTA OY        HELSINKI
14/11/2017,"-24,82",ALEPA POHJOIS HAAGA HELSINKI
15/11/2017,"3101,1",TIETO FINLAND OY
15/11/2017,"-7,2",OSUUSPANKKI
15/11/2017,-2880,SHAFIQ OMER
15/11/2017,"-6,2",Zeberas Oy          HELSINKI
15/11/2017,"-6,72",ALEPA POHJOIS HAAGA HELSINKI
16/11/2017,"-4,95",JUNGLE JUICE BAR TO HELSINKI
17/11/2017,"-13,5",MATHYRUBAN          HELSINKI
17/11/2017,"-4,95",JUNGLE JUICE BAR TO HELSINKI
17/11/2017,-8,ASSARESTA OY        HELSINKI
17/11/2017,"-3,8",ALEPA KAMPIN KESKUS HELSINKI
19/11/2017,-30,VR Lippukauppa
20/11/2017,"-13,5",MATHYRUBAN          HELSINKI
20/11/2017,-15,Ravintola Santa F   HELSINKI
20/11/2017,-15,RAVINTOLA TUPLAASSA HELSINKI
21/11/2017,-5,MATHYRUBAN          HELSINKI
21/11/2017,"-19,1",Pyymaen Oma         TAMPERE
21/11/2017,"-4,95",Fazer Food Services TAMPEREENYLIO
21/11/2017,"-18,33",ENVATOMARKET3823875 ENVATO.COM
21/11/2017,"-45,7",IZ *KAJON TAKSILII  ESPOO
